Id,title,profile,weights
140,.NET 5程序员,"['.NET', '微服务架构', '多线程', '分布式技术', 'SQL', '后端开发', '本科']","{'.NET': 0.7143646843122631, '微服务架构': 0.4056787734093897, '多线程': 0.39227322332251496, '分布式技术': 0.3026348790715713, 'SQL': 0.25421731084185867, '后端开发': 0.10658405091422647, '本科': 0.06045723947585519}"
12,.NET 实习生,"['c++', '.NET', 'SQL', 'C#', '大专', '后端开发']","{'c++': 0.7703320751824075, '.NET': 0.4284482682348705, 'SQL': 0.3049393929387177, 'C#': 0.28994350445334616, '大专': 0.17210372222235765, '后端开发': 0.1278499708580112}"
104,.NET 开发工程师（WPF/VUE）,"['MYSQL', 'WPF', 'VUE', '.NET', '后端开发', '本科']","{'MYSQL': 0.6668119812215165, 'WPF': 0.5005492433874571, 'VUE': 0.4891400347272701, '.NET': 0.24218047081351024, '后端开发': 0.0722672220463108, '本科': 0.040991843639201025}"
43,.NET 研发工程师,"['.NET', 'ERP', 'C#', '后端开发', '本科']","{'.NET': 0.7117288941077426, 'ERP': 0.6484914721999259, 'C#': 0.24082390463202727, '后端开发': 0.10619078791631066, '本科': 0.06023417049847955}"
10,.NET 高级开发工程师,"['.NET', 'Core', 'ASP.NET', '微服务架构', 'MVC开发', '多线程', 'Oracle', 'MySQL', '分布式技术', 'SQL']","{'.NET': 0.6360229695644465, 'Core': 0.3863413679941437, 'ASP.NET': 0.30416839054759764, '微服务架构': 0.24079299534196652, 'MVC开发': 0.23352543189610056, '多线程': 0.2328360531226411, 'Oracle': 0.22882810865079634, 'MySQL': 0.19449067792245, '分布式技术': 0.17963069256536757, 'SQL': 0.1508921633511676}"
149,.NET/.NET Core高级研发工程师,"['.NET', '容器技术', '微服务架构', 'MVC开发', '学历不限', '后端开发']","{'.NET': 0.6734564791934806, '容器技术': 0.40805101826821544, '微服务架构': 0.3824475151467498, 'MVC开发': 0.37090456483336764, '学历不限': 0.2360701519999015, '后端开发': 0.20096099721384686}"
135,.NET/C#工程师,"['.NET', 'HTML/CSS', '学历不限', 'C#', '后端开发']","{'.NET': 0.7183459638106067, 'HTML/CSS': 0.5916133582781089, '学历不限': 0.25180549316025835, 'C#': 0.24306288716633026, '后端开发': 0.10717806249692914}"
39,.NET/C#软件开发,"['.NET', 'HTML', '网络协议', 'C#', '大专', '后端开发']","{'.NET': 0.5421199020639746, 'HTML': 0.5026556119521776, '网络协议': 0.4952373246335877, 'C#': 0.3668684317149977, '大专': 0.2177645703188688, '后端开发': 0.16176985372346536}"
179,.NET/C#软件开发--天之旭科技,"['.NET', 'HTML', '网络协议', 'C#', '大专', '后端开发']","{'.NET': 0.5421199020639746, 'HTML': 0.5026556119521776, '网络协议': 0.4952373246335877, 'C#': 0.3668684317149977, '大专': 0.2177645703188688, '后端开发': 0.16176985372346536}"
58,.NETCore高级开发工程师,"['.NET', 'Core', '后端开发', '本科']","{'.NET': 0.733311100337213, 'Core': 0.668156090015699, '后端开发': 0.10941087846406469, '本科': 0.06206068941673844}"
134,.NETnet应届生/实习生,"['Web前端', '.NET', '学历不限', '后端开发']","{'Web前端': 0.8143637382174639, '.NET': 0.4269536720328291, '学历不限': 0.2993245187110281, '后端开发': 0.2548079596727166}"
181,.NET中级后台开发工程师,"['.NET', '以内本科', 'C#', '后端开发']","{'.NET': 0.7779936050070728, '以内本科': 0.5210870707907997, 'C#': 0.2632455409463644, '后端开发': 0.23215512140510494}"
177,.NET中级工程师,"['ASP.NET', 'MVC开发', 'Oracle', '.NET', 'MySQL', 'SQL', 'C#', '后端开发', '本科']","{'ASP.NET': 0.5288235395975108, 'MVC开发': 0.4060045334066641, 'Oracle': 0.3978378231816358, '.NET': 0.36859398552762923, 'MySQL': 0.33813917525258047, 'SQL': 0.26233931730129434, 'C#': 0.24943835652457597, '后端开发': 0.10998931213397356, '本科': 0.06238879200434529}"
180,.NET中级开发工程师,"['.NET', 'C#', '后端开发', '本科']","{'.NET': 0.9088291984138134, 'C#': 0.30751568190861933, '后端开发': 0.271196770174409, '本科': 0.0769149227247294}"
6,.NET工程师,"['.NET', 'ASP.NET', 'C#', 'EF', 'Winform', 'SQL', '学历不限', '软件工程师', 'Server', '后端开发']","{'.NET': 0.7170176665092096, 'ASP.NET': 0.3429028825258512, 'C#': 0.32348458440366545, 'EF': 0.2413641124173968, 'Winform': 0.22793776214885791, 'SQL': 0.1701076093756042, '学历不限': 0.1675599188652886, '软件工程师': 0.15857622394938692, 'Server': 0.15503118970100777, '后端开发': 0.14263983863683757}"
