职位名称,工作地点,工资,工作经验,学历要求,公司名称,公司类型,公司规模,技术需求,标签
.net软件工程师,厦门·海沧区·新阳工业区,16-27k,3-5年,本科,amoytop,医疗健康已上市,1000-9999人,C# 软件工程师 .net 计算机软件 医疗,后端开发_.NET
自动化工程师(.NET开发、C#),厦门·同安区·洪塘,4-9K,经验不限,大专,三安光电股份有限公司,电子/半导体/集成电路,1000-9999人,C# VB .net,后端开发_.NET
.net开发工程师,厦门,10-15K,1-3年,本科,云企动力,计算机软件天使轮,0-20人,C# SQL 网络协议 Oracle MySQL .net,后端开发_.NET
高级.NET开发工程师,厦门·湖里区·东渡,10-16k,3-5年,本科,乐域,互联网未融资,20-99人,软件开发 .net,后端开发_.NET
.net工程师,厦门·海沧区·东孚,10-16k,1-3年,本科,盈趣科技,智能硬件已上市,1000-9999人,C# HTML ASP.NET MVC开发 MySQL,后端开发_.NET
.NET工程师,厦门·思明区·软件园,8-14k,经验不限,本科,智业软件,医疗健康不需要融资,1000-9999人,.NET C#,后端开发_.NET
高级.net工程师,厦门·海沧区·新阳工业区,10-16k,5-10年,本科,厦门阳光恩耐照明...,电子/半导体/集成电路已上市,1000-9999人,C# Java WPF MVC开发 网络协议 多线程,后端开发_.NET
.net开发工程师,厦门·湖里区·金山,10-15K,3-5年,本科,弘爱医院,医疗/护理/卫生不需要融资,1000-9999人,.NET SQL C# JavaScript,后端开发_.NET
.NET研发工程师,厦门,9-14K,1-3年,本科,厦门科拓股份,智能硬件D轮及以上,1000-9999人,C# HTML ASP.NET 网络协议 SQL Server,后端开发_.NET
.NET 高级开发工程师,厦门·思明区·观音山,18-31k,5-10年,本科,安踏,贸易/进出口已上市,0-20人,微服务架构 Oracle MySQL C# .NET Core,后端开发_.NET
.net 高级软件工程师,厦门·集美区·杏林,12-18K,3-5年,本科,德捷,计算机软件不需要融资,20-99人,.NET HTML5 C#,后端开发_.NET
.NET 实习生,厦门·思明区·江头,4-5K,经验不限,大专,易视线,互联网不需要融资,100-499人,SQL C# c++,后端开发_.NET
高级.NET工程师（云后台）,厦门·思明区·会展中心,15-25K,3-5年,本科,准动网络科技,互联网B轮,500-999人,C# SQL ASP.NET MVC开发 多线程,后端开发_.NET
"软件开发员: .net 开发,C#开发",厦门·湖里区·五缘湾,10-15K,3-5年,大专,巨奥科技,互联网不需要融资,20-99人,C# .NET Core 微服务架构 SQL Server Redis,后端开发_.NET
.net工程师,厦门·思明区·松柏,11-16K,3-5年,大专,厦门掌酷科技,移动互联网不需要融资,100-499人,.NET,后端开发_.NET
.net开发工程师,厦门,12-13K,1-3年,大专,骨之味,餐饮不需要融资,20-99人,HTML ASP.NET WCF MVC开发 MySQL,后端开发_.NET
.NET开发工程师,厦门·同安区·洪塘,11-18K,3-5年,大专,奥利普自动化,计算机软件不需要融资,100-499人,.NET JavaScript CSS HTML Java MySQL,后端开发_.NET
.net工程师,厦门·思明区·江头,7-10K,3-5年,大专,企盟科技,移动互联网不需要融资,100-499人,C/C++ HTML/CSS HTML5,后端开发_.NET
.net工程师,厦门·海沧区·未来海岸,4-8k,1-3年,大专,鹭达科技,其他服务业不需要融资,0-20人,.NET C#,后端开发_.NET
.NET,厦门·思明区·市政府,7-13k,经验不限,本科,同荣科技,计算机软件不需要融资,0-20人,C#,后端开发_.NET
.net程序员,厦门·集美区·同集南路,6-7K,经验不限,大专,Ports,其他行业不需要融资,1000-9999人,.NET,后端开发_.NET
.net开发工程师,厦门,8-12K,1-3年,大专,美科集团,机械设备/机电/重工未融资,500-999人,计算机软件 SQL SERVER REDIS,后端开发_.NET
